Nº Servei,DATA,HORA,X,Y,NOM_FOC,REGIO,SUPERFÍCIE (HA),Observacions
182424578,12/09/2018,18:36:00,392242,4588696,Torrelavit,REMS,"0,0000",
182424544,12/09/2018,17:58:00,409288,4592396,Martorell,REMS,"0,0000",
182421966,17/08/2018,16:10:00,411340,4590475,Castellví de Rosanes,REMS,"0,0100",
182421863,17/08/2018,13:38:00,410654,4591632,Martorell,REMS,"0,0050",
182421684,15/08/2018,11:35:00,378496,4615693,Rubió,REMS,"0,0000",
182421159,10/08/2018,11:49:00,392065,4594206,Cabrera d'anoia,REMS,"0,0020",
182421054,09/08/2018,16:49:00,399232,4565192,Sitges,REMS,"0,0000",
182420983,09/08/2018,4:06:00,405129,4587043,Gelida,REMS,"0,0005",
182420982,09/08/2018,3:58:00,387950,4591304,Sant Quintí de Mediona,REMS,"0,0010",
182419321,24/07/2018,19:35:00,385198,4608114,Òdena,REMS,"0,0003",
182419068,22/07/2018,15:52:00,386419,4570846,Castellet i la Gornal,REMS,"0,0000",
182418292,11/07/2018,17:58:00,371973,4603268,Argençola,REMS,"0,0000",
182412331,22/05/2018,16:45:00,395175,4606747,El Bruch,REMS,"0,0025",
182311772,12/09/2018,18:37:00,391552,4618808,Rajadell,REC,"0,0000",
182311769,12/09/2018,18:15:00,401662,4625954,Santpedor,REC,"0,0000",
182311154,29/08/2018,20:16:00,419639,4652501,Lluçà,REC,"0,0000",
182310616,17/08/2018,16:29:00,436221,4634446,Tona,REC,"0,0000",
182310563,16/08/2018,20:58:00,398333,4695154,Talltendre,REC,"0,0000",
182310190,09/08/2018,6:31:00,366200,4644728,Pinell de Solsonès,REC,"0,0150",
182309015,16/07/2018,8:54:00,405035,4629688,Castellnou de Bages,REC,"0,0300",restes rompuda
182305118,25/04/2018,15:35:00,369606,4660566,Lladurs Solsones,REC,"0,1000",
180417119,13/09/2018,11:15:00,368301,4558206,Creixell,RET,"0,0000",
180416045,29/08/2018,15:07:00,358028,4602963,Llorac,RET,"0,0550",
180416037,29/08/2018,9:54:00,339299,4592829,Senan,RET,"0,0000",
180416002,29/08/2018,8:10:00,341826,4592777,Senan,RET,"0,0600",
180415971,28/08/2018,16:52:00,317041,4560850,Falset,RETE,"0,0002",
180415182,17/08/2018,13:21:00,376764,4563797,El Vendrell,REMS,"0,0000",
180414567,09/08/2018,18:38:00,373987,4559729,El Vendrell,RET,"0,0000",
180414559,09/08/2018,16:38:00,372257,4572548,La Bisbal del Penedés,RET,"0,0000",
180413133,20/07/2018,20:09:00,352665,4602150,Vallfogona de Riucorb,RET,"0,0010",Bales de palla apilades
180409768,06/06/2018,7:38:00,377731,4563268,Vendrell- Joan Toldrà Matines,RET,"0,0010",
180409763,06/06/2018,7:06:00,382333,4561425,Calafell-c/ Albània,REMS,"0,0002",Una palmera
180405060,28/03/2018,17:35:00,319527,4566669,Poboleda,RET,"0,0180",
180312258,09/09/2018,17:23:00,335079,4587824,Tarrés,RELL,"0,0000",
180311330,22/08/2018,19:30:00,344194,4637578,Seró,RELL,"0,0400",
180311329,22/08/2018,18:41:00,336987,4639670,Vernet,RELL,"0,0080",
180311005,17/08/2018,2:28:00,352616,4636070,Oliola,RELL,"0,0000",
180310833,13/08/2018,16:38:00,362658,4656174,Ogern,RELL,"0,2700",
180310659,10/08/2018,12:08:00,358891,4610292,Ribera d'Ondara,RELL,"0,0000",
180310501,08/08/2018,0:05:00,346382,4656455,Sant Cristofol de la Donzell,RELL,"0,5800",
180309504,20/07/2018,20:20:00,316602,4603082,Juneda,RELL,"0,0030",camp de blat
180220472,07/08/2018,14:19:00,476734,4678384,Albanyà,REG,"0,0000",
180220360,06/08/2018,16:13:00,476734,4678384,Albanyà,REG,"0,0200",El 6 no es troba. El 7 a les 14:19 torna a sortir i s´apaga
180218775,24/07/2018,15:40:00,493421,4657264,Cervià de Ter,REG,"0,0000",Plantació de palmeres
180218373,20/07/2018,19:38:00,476242,4655035,Canet d'Adri,REG,"0,0000",
180217810,16/07/2018,11:16:00,480770,4662260,Banyoles,REG,"0,0004",Crema un xiprer dins d'unjardí
180216871,07/07/2018,20:06:00,488729,4621559,Tossa de Mar,REG,"0,0200",extinció amb LA
172606623,24/08/2017,14:35:00,272820,4547115,Caseres,RETE,"0,1600","50.60, 5061,5008; 4391, 2831,2634, 2230, 3092"
172606616,24/08/2017,12:09:00,273262,4517835,Roquetes,RETE,"0,0000","personal helitransportat 50.60, 5061.50.71, 50.85 i 50.87; 30.31"
172605731,27/07/2017,16:27:00,295999,4531876,Tivenys,RETE,"106,3900",; 
172605529,22/07/2017,14:03:00,274130,4559490,La Pobla de Massaluca,RETE,"0,0200",
172604708,28/06/2017,16:50:00,312354,4535413,Tivissa (coll del ferro),RETE,"0,4000",olorat per severino i passat avís a tivissa; 5071+gTGN-72930+72030...
172604693,28/06/2017,11:46:00,312222,4534585,Tivissa (Senén),RETE,"0,0100","vist amb el vol de llamps 5071+GRAF TGN; 05071, GTGN, 72031"
172604618,27/06/2017,4:17:00,279216,4527066,Alfara de Carles,RETE,"0,0500",; 
172603512,19/05/2017,13:36:00,274919,4514635,Mas de Barberans,RET,"0,0250",
172526092,31/08/2017,14:39:00,448920,4598485,Cabrera de Mar,REMN,"0,0020",; 40930
172521837,23/07/2017,19:30:00,422246,4614728,Sant Llorenç Savall,REMN,"0,0000",El Collet; 41730
172418149,23/07/2017,13:10:00,374041,4592906,Sta. Maria de Miralles,REMS,"0,0000",
172418051,23/07/2017,19:04:00,412703,4583580,Cervelló,REMS,"0,0000",
172417902,22/07/2017,15:39:00,397708,4603196,Els Hostalets de Pierola/Bruc,REMS,"0,0516",; 
172417782,21/07/2017,13:07:00,402820,4599043,Esparreguera,REMS,"0,0001","Mas d'en Gall; 51030, 50037"
172417776,21/07/2017,12:12:00,390379,4586901,Torrelavit,REMS,"0,0000","Can Raspall dels Horts; 51830, 50034"
172311685,07/09/2017,13:08:00,405882,4642957,Puig-reig,REC,"0,0200",; 1630 puig reig
172310655,16/08/2017,14:35:00,421693,4649391,Olost,REC,"0,0010",La Sala; 11430; 11434
172310624,15/08/2017,19:27:00,392449,4628221,Sant Mateu del Bages,REC,"0,0000",; 
172310624,15/08/2017,19:35:00,406825,4630457,Sallent,REC,"0,0002",; 4491
172310621,15/08/2017,19:20:00,419981,4636041,Santa Maria d'Oló,REC,"0,0000",; 
172310618,15/08/2017,18:56:00,410236,4641194,Gaià,REC,"0,0400",; 
172310617,15/08/2017,18:39:00,373792,4620366,Calonge de Segarra,REC,"0,0020",
172310614,15/08/2017,16:00:00,382618,4661898,"Navès, Presa de LlosaCaval",REC,"0,0200",; 5081/ 5082
172309361,20/07/2017,13:04:00,369520,4649280,Castellar de la Ribera,REC,"0,2841", 04391/90
172309347,20/07/2017,9:46:00,372500,4657500,Lladurs,REC,"0,0020",
172309341,20/07/2017,7:55:00,374259,4651125,Olius,REC,"0,0001","Casa Masnou; 11930, 11991"
172308754,08/07/2017,11:57:00,380639,4658561,Navés,REC,"0,1500","05041, 05010, 10530, 10531, 11830, 11890, 11930, 11934"
172307735,21/06/2017,16:09:00,413560,4626725,Artés,REC,"0,0000",; 
172307655,20/06/2017,18:49:00,262573,4647027,Pinell de Solsonès,REC,"0,0000",
170418809,05/11/2017,14:32:00,369919,4586222,Querol,RET,"0,0020",valls i ADFs; 61330
170412812,02/08/2017,10:08:00,338400,4578077,Vimbodí i Poblet,RET,"0,2000",; 
170412067,23/07/2017,19:02:00,351174,4578271,Montblanc-Coll de l'illa,RET,"0,0030","Coll de l'Illa; 04690, 60630"
170411814,21/07/2017,12:02:00,349990,4576884,Picamoixons,RET,"0,0001","Tutó de'n Manel; 61334, 61390, 05071, GRAFTGN, GRAF03"
170411807,21/07/2017,11:26:00,313194,4552535,Capçanes,RET,"0,0000",
170410248,28/06/2017,18:23:00,326462,4559572,Duesaigües,RET,"0,0000",04094 i 60431
170410100,26/06/2017,19:30:00,339619,4589795,L'Espluga de Francolí (Senant),RET,"0,0375",; 
170312262,10/09/2017,15:38:00,359435,4664225,Peramola,RELL,"0,1300","50,30; 50,32; 50,31; 50,11; 50,81 i 83.; oliana, balaguer seu i organyà: 32234, 32230, 32290, 30690, 30630, 30096, 32931, 32330,30091,30092, 04391, 11934"
